,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-01-02,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000
1,2015-01-05,2054.439941,2054.439941,2017.339966,2020.579956,2020.579956,3799120000
2,2015-01-06,2022.150024,2030.25,1992.439941,2002.609985,2002.609985,4460110000
3,2015-01-07,2005.550049,2029.609985,2005.550049,2025.900024,2025.900024,3805480000
4,2015-01-08,2030.609985,2064.080078,2030.609985,2062.139893,2062.139893,3934010000
5,2015-01-09,2063.449951,2064.429932,2038.329956,2044.810059,2044.810059,3364140000
6,2015-01-12,2046.130005,2049.300049,2022.579956,2028.26001,2028.26001,3456460000
7,2015-01-13,2031.579956,2056.929932,2008.25,2023.030029,2023.030029,4107300000
8,2015-01-14,2018.400024,2018.400024,1988.439941,2011.27002,2011.27002,4378680000
9,2015-01-15,2013.75,2021.349976,1991.469971,1992.670044,1992.670044,4276720000
10,2015-01-16,1992.25,2020.459961,1988.119995,2019.420044,2019.420044,4056410000
11,2015-01-20,2020.76001,2028.939941,2004.48999,2022.550049,2022.550049,3944340000
12,2015-01-21,2020.189941,2038.290039,2012.040039,2032.119995,2032.119995,3730070000
13,2015-01-22,2034.300049,2064.620117,2026.380005,2063.149902,2063.149902,4176050000
14,2015-01-23,2062.97998,2062.97998,2050.540039,2051.820068,2051.820068,3573560000
15,2015-01-26,2050.419922,2057.620117,2040.969971,2057.090088,2057.090088,3465760000
16,2015-01-27,2047.859985,2047.859985,2019.910034,2029.550049,2029.550049,3329810000
17,2015-01-28,2032.339966,2042.48999,2001.48999,2002.160034,2002.160034,4067530000
18,2015-01-29,2002.449951,2024.640015,1989.180054,2021.25,2021.25,4127140000
19,2015-01-30,2019.349976,2023.319946,1993.380005,1994.98999,1994.98999,4568650000
20,2015-02-02,1996.670044,2021.660034,1980.900024,2020.849976,2020.849976,4008330000
21,2015-02-03,2022.709961,2050.300049,2022.709961,2050.030029,2050.030029,4615900000
22,2015-02-04,2048.860107,2054.73999,2036.719971,2041.51001,2041.51001,4141920000
23,2015-02-05,2043.449951,2063.550049,2043.449951,2062.52002,2062.52002,3821990000
24,2015-02-06,2062.280029,2072.399902,2049.969971,2055.469971,2055.469971,4232970000
25,2015-02-09,2053.469971,2056.159912,2041.880005,2046.73999,2046.73999,3549540000
26,2015-02-10,2049.379883,2070.860107,2048.620117,2068.590088,2068.590088,3669850000
27,2015-02-11,2068.550049,2073.47998,2057.98999,2068.530029,2068.530029,3596860000
28,2015-02-12,2069.97998,2088.530029,2069.97998,2088.47998,2088.47998,3788350000
29,2015-02-13,2088.780029,2097.030029,2086.699951,2096.98999,2096.98999,3527450000
30,2015-02-17,2096.469971,2101.300049,2089.800049,2100.340088,2100.340088,3361750000
31,2015-02-18,2099.159912,2100.22998,2092.149902,2099.679932,2099.679932,3370020000
32,2015-02-19,2099.25,2102.129883,2090.790039,2097.449951,2097.449951,3247100000
33,2015-02-20,2097.649902,2110.610107,2085.439941,2110.300049,2110.300049,3281600000
34,2015-02-23,2109.830078,2110.050049,2103.0,2109.659912,2109.659912,3093680000
35,2015-02-24,2109.100098,2117.939941,2105.870117,2115.47998,2115.47998,3199840000
36,2015-02-25,2115.300049,2119.590088,2109.889893,2113.860107,2113.860107,3312340000
37,2015-02-26,2113.909912,2113.909912,2103.76001,2110.73999,2110.73999,3408690000
38,2015-02-27,2110.879883,2112.73999,2103.75,2104.5,2104.5,3547380000
39,2015-03-02,2105.22998,2117.52002,2104.5,2117.389893,2117.389893,3409490000
40,2015-03-03,2115.76001,2115.76001,2098.26001,2107.780029,2107.780029,3262300000
41,2015-03-04,2107.719971,2107.719971,2094.48999,2098.530029,2098.530029,3421110000
42,2015-03-05,2098.540039,2104.25,2095.219971,2101.040039,2101.040039,3103030000
43,2015-03-06,2100.909912,2100.909912,2067.27002,2071.26001,2071.26001,3853570000
44,2015-03-09,2072.25,2083.48999,2072.209961,2079.429932,2079.429932,3349090000
45,2015-03-10,2076.139893,2076.139893,2044.160034,2044.160034,2044.160034,3668900000
46,2015-03-11,2044.689941,2050.080078,2039.689941,2040.23999,2040.23999,3406570000
47,2015-03-12,2041.099976,2066.409912,2041.099976,2065.949951,2065.949951,3405860000
48,2015-03-13,2064.560059,2064.560059,2041.170044,2053.399902,2053.399902,3498560000
49,2015-03-16,2055.350098,2081.409912,2055.350098,2081.189941,2081.189941,3295600000
50,2015-03-17,2080.590088,2080.590088,2065.080078,2074.280029,2074.280029,3221840000
51,2015-03-18,2072.840088,2106.850098,2061.22998,2099.5,2099.5,4128210000
52,2015-03-19,2098.689941,2098.689941,2085.560059,2089.27002,2089.27002,3305220000
53,2015-03-20,2090.320068,2113.919922,2090.320068,2108.100098,2108.100098,5554120000
54,2015-03-23,2107.98999,2114.860107,2104.419922,2104.419922,2104.419922,3267960000
55,2015-03-24,2103.939941,2107.629883,2091.5,2091.5,2091.5,3189820000
56,2015-03-25,2093.100098,2097.429932,2061.050049,2061.050049,2061.050049,3521140000
57,2015-03-26,2059.939941,2067.149902,2045.5,2056.149902,2056.149902,3510670000
58,2015-03-27,2055.780029,2062.830078,2052.959961,2061.02002,2061.02002,3008550000
59,2015-03-30,2064.110107,2088.969971,2064.110107,2086.23999,2086.23999,2917690000
60,2015-03-31,2084.050049,2084.050049,2067.040039,2067.889893,2067.889893,3376550000
61,2015-04-01,2067.629883,2067.629883,2048.379883,2059.689941,2059.689941,3543270000
62,2015-04-02,2060.030029,2072.169922,2057.320068,2066.959961,2066.959961,3095960000
63,2015-04-06,2064.870117,2086.98999,2056.52002,2080.620117,2080.620117,3302970000
64,2015-04-07,2080.790039,2089.810059,2076.100098,2076.330078,2076.330078,3065510000
65,2015-04-08,2076.939941,2086.689941,2073.300049,2081.899902,2081.899902,3265330000
66,2015-04-09,2081.290039,2093.310059,2074.290039,2091.179932,2091.179932,3172360000
67,2015-04-10,2091.51001,2102.610107,2091.51001,2102.060059,2102.060059,3156200000
68,2015-04-13,2102.030029,2107.649902,2092.330078,2092.429932,2092.429932,2908420000
69,2015-04-14,2092.280029,2098.620117,2083.23999,2095.840088,2095.840088,3301270000
70,2015-04-15,2097.820068,2111.909912,2097.820068,2106.629883,2106.629883,4013760000
71,2015-04-16,2105.959961,2111.300049,2100.02002,2104.98999,2104.98999,3434120000
72,2015-04-17,2102.580078,2102.580078,2072.370117,2081.179932,2081.179932,3627600000
73,2015-04-20,2084.110107,2103.939941,2084.110107,2100.399902,2100.399902,3000160000
74,2015-04-21,2102.820068,2109.639893,2094.379883,2097.290039,2097.290039,3243410000
75,2015-04-22,2098.27002,2109.97998,2091.050049,2107.959961,2107.959961,3348480000
76,2015-04-23,2107.209961,2120.48999,2103.189941,2112.929932,2112.929932,3636670000
77,2015-04-24,2112.800049,2120.919922,2112.800049,2117.689941,2117.689941,3375780000
78,2015-04-27,2119.290039,2125.919922,2107.040039,2108.919922,2108.919922,3438750000
79,2015-04-28,2108.350098,2116.040039,2094.889893,2114.76001,2114.76001,3546270000
80,2015-04-29,2112.48999,2113.649902,2097.409912,2106.850098,2106.850098,4074970000
81,2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,2085.51001,4509680000
82,2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,2108.290039,3379390000
83,2015-05-04,2110.22998,2120.949951,2110.22998,2114.48999,2114.48999,3091580000
84,2015-05-05,2112.629883,2115.23999,2088.459961,2089.459961,2089.459961,3793950000
85,2015-05-06,2091.26001,2098.419922,2067.929932,2080.149902,2080.149902,3792210000
86,2015-05-07,2079.959961,2092.899902,2074.98999,2088.0,2088.0,3676640000
87,2015-05-08,2092.129883,2117.659912,2092.129883,2116.100098,2116.100098,3399440000
88,2015-05-11,2115.560059,2117.689941,2104.580078,2105.330078,2105.330078,2992670000
89,2015-05-12,2102.870117,2105.060059,2085.570068,2099.120117,2099.120117,3139520000
90,2015-05-13,2099.620117,2110.189941,2096.040039,2098.47998,2098.47998,3374260000
91,2015-05-14,2100.429932,2121.449951,2100.429932,2121.100098,2121.100098,3225740000
92,2015-05-15,2122.070068,2123.889893,2116.810059,2122.72998,2122.72998,3092080000
93,2015-05-18,2121.300049,2131.780029,2120.01001,2129.199951,2129.199951,2888190000
94,2015-05-19,2129.449951,2133.02002,2124.5,2127.830078,2127.830078,3296030000
95,2015-05-20,2127.790039,2134.719971,2122.590088,2125.850098,2125.850098,3025880000
96,2015-05-21,2125.550049,2134.280029,2122.949951,2130.820068,2130.820068,3070460000
97,2015-05-22,2130.360107,2132.149902,2126.060059,2126.060059,2126.060059,2571860000
98,2015-05-26,2125.340088,2125.340088,2099.179932,2104.199951,2104.199951,3342130000
99,2015-05-27,2105.129883,2126.219971,2105.129883,2123.47998,2123.47998,3127960000
100,2015-05-28,2122.27002,2122.27002,2112.860107,2120.790039,2120.790039,2980350000
101,2015-05-29,2120.659912,2120.659912,2104.889893,2107.389893,2107.389893,3927390000
102,2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,2111.72998,3011710000
103,2015-06-02,2110.409912,2117.590088,2099.139893,2109.600098,2109.600098,3049350000
104,2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,2114.070068,3099980000
105,2015-06-04,2112.350098,2112.889893,2093.22998,2095.840088,2095.840088,3200050000
106,2015-06-05,2095.090088,2100.98999,2085.669922,2092.830078,2092.830078,3243690000
107,2015-06-08,2092.340088,2093.01001,2079.110107,2079.280029,2079.280029,2917150000
108,2015-06-09,2079.070068,2085.620117,2072.139893,2080.149902,2080.149902,3034580000
109,2015-06-10,2081.120117,2108.5,2081.120117,2105.199951,2105.199951,3414320000
110,2015-06-11,2106.23999,2115.02002,2106.23999,2108.860107,2108.860107,3128600000
111,2015-06-12,2107.429932,2107.429932,2091.330078,2094.110107,2094.110107,2719400000
112,2015-06-15,2091.340088,2091.340088,2072.48999,2084.429932,2084.429932,3061570000
